장소명,카테고리,주소,크롤링_소스
A 1인1잔,서울 한옥카페,서울 은평구 연서로 534 1-2층,KakaoMap
B 어니언 안국,서울 한옥카페,서울 종로구 계동길 5,KakaoMap
C 한옥카페 선운각,서울 한옥카페,서울 강북구 삼양로173길 223,KakaoMap
D 수연산방,서울 한옥카페,서울 성북구 성북로26길 8 상허 이태준 가옥,KakaoMap
E 청수당 베이커리,서울 한옥카페,서울 종로구 돈화문로11나길 31-9,KakaoMap
F 나무사이로,서울 한옥카페,서울 종로구 사직로8길 21 1층,KakaoMap
G 프릳츠 원서점,서울 한옥카페,서울 종로구 율곡로 83 1층,KakaoMap
H 해로커피,서울 한옥카페,서울 성북구 성북로 19-3 1층,KakaoMap
I 뜰안,서울 한옥카페,서울 종로구 수표로28길 17-35 1층,KakaoMap
J 한옥찻집,서울 한옥카페,서울 종로구 인사동12길 9,KakaoMap
K 더쌍화 본사,서울 한옥카페,서울 종로구 종로 252-16 1층,KakaoMap
L 코튼 서울,서울 한옥카페,서울 종로구 인사동12길 17,KakaoMap
M 내자상회,서울 한옥카페,서울 종로구 사직로10길 3 1층,KakaoMap
N 동백양과점 익선점,서울 한옥카페,서울 종로구 수표로28길 17-24 1층,KakaoMap
O 뜨아아아 커피집,서울 한옥카페,서울 성동구 고산자로12길 1-1 1층,KakaoMap
A 용눈이오름,제주 오름 명소,제주특별자치도 제주시 구좌읍 종달리 산 28,KakaoMap
B 다랑쉬오름,제주 오름 명소,제주특별자치도 제주시 구좌읍 세화리 산 6,KakaoMap
C 거문오름,제주 오름 명소,제주특별자치도 제주시 조천읍 선흘리 산 102-1,KakaoMap
D 백약이오름,제주 오름 명소,제주특별자치도 서귀포시 표선면 성읍리 산 1,KakaoMap
E 군산오름,제주 오름 명소,제주특별자치도 서귀포시 안덕면 창천리 산 3-1,KakaoMap
F 물영아리오름,제주 오름 명소,제주특별자치도 서귀포시 남원읍 수망리 산 188,KakaoMap
G 아부오름,제주 오름 명소,제주특별자치도 제주시 구좌읍 송당리 2263,KakaoMap
H 따라비오름,제주 오름 명소,제주특별자치도 서귀포시 표선면 가시리 산 63,KakaoMap
I 안돌오름,제주 오름 명소,제주특별자치도 제주시 구좌읍 송당리 산 66-2,KakaoMap
J 붉은오름자연휴양림,제주 오름 명소,제주특별자치도 서귀포시 표선면 남조로 1487-73,KakaoMap
K 궷물오름,제주 오름 명소,제주특별자치도 제주시 애월읍 유수암리 산 136-6,KakaoMap
L 큰노꼬메오름,제주 오름 명소,제주특별자치도 제주시 애월읍 유수암리 산 138,KakaoMap
M 민오름,제주 오름 명소,제주특별자치도 제주시 오라이동 산 28-1,KakaoMap
N 사라오름,제주 오름 명소,제주특별자치도 서귀포시 남원읍 신례리 산 2-1,KakaoMap
O 문도지오름,제주 오름 명소,제주특별자치도 제주시 한림읍 금악리 3445,KakaoMap
A 웨이브온커피,부산 오션뷰 카페,부산 기장군 장안읍 해맞이로 286,KakaoMap
B 미피카페 부산점,부산 오션뷰 카페,"부산 영도구 와치로51번길 2 2,3층",KakaoMap
C 헤이든,부산 오션뷰 카페,부산 기장군 일광읍 문오성길 22 주2동 1-2층,KakaoMap
D 카페385,부산 오션뷰 카페,부산 영도구 태종로 539,KakaoMap
E 카페윤,부산 오션뷰 카페,부산 기장군 기장읍 기장해안로 34-16 1-3층,KakaoMap
F 그릿비 일광점,부산 오션뷰 카페,부산 기장군 일광읍 일광로 354,KakaoMap
G 비비비당,부산 오션뷰 카페,부산 해운대구 달맞이길 239-16 4층,KakaoMap
H 세븐아일랜드,부산 오션뷰 카페,부산 강서구 가덕해안로 560,KakaoMap
I 카페베이스,부산 오션뷰 카페,부산 기장군 기장읍 연화1길 73 1-3층,KakaoMap
J 노티스,부산 오션뷰 카페,부산 중구 대교로 135 1층,KakaoMap
K 카페오시오,부산 오션뷰 카페,부산 기장군 일광읍 일광로 310,KakaoMap
L 에테르,부산 오션뷰 카페,부산 영도구 절영로 234 1-3층,KakaoMap
M 채플린,부산 오션뷰 카페,부산 기장군 기장읍 기장해안로 880,KakaoMap
N 스노잉클라우드,부산 오션뷰 카페,부산 해운대구 달맞이길117번가길 120-30 6층,KakaoMap
O 뚜벅스 광안점,부산 오션뷰 카페,부산 수영구 광안해변로 239 7층,KakaoMap
A 첨성대,경주 문화 유적지,경북 경주시 인왕동 839-1,KakaoMap
B 대릉원,경주 문화 유적지,경북 경주시 황남동 31-1,KakaoMap
C 월정교,경주 문화 유적지,경북 경주시 교동 274,KakaoMap
D 경주문무대왕릉,경주 문화 유적지,경북 경주시 문무대왕면 봉길리 30-1,KakaoMap
E 경주양동마을,경주 문화 유적지,경북 경주시 강동면 양동리 125,KakaoMap
F 천마총,경주 문화 유적지,경북 경주시 계림로 9,KakaoMap
G 통일전,경주 문화 유적지,경북 경주시 칠불암길 6,KakaoMap
H 감은사지삼층석탑,경주 문화 유적지,경북 경주시 문무대왕면 용당리 55-3,KakaoMap
I 옥산서원,경주 문화 유적지,경북 경주시 안강읍 옥산서원길 216-27,KakaoMap
J 포석정,경주 문화 유적지,경북 경주시 배동 454-3,KakaoMap
K 운곡서원,경주 문화 유적지,경북 경주시 강동면 사라길 79-19,KakaoMap
L 김유신장군묘,경주 문화 유적지,경북 경주시 흥무로 71,KakaoMap
M 경주황룡사지,경주 문화 유적지,경북 경주시 구황동 786-3,KakaoMap
N 태종무열왕릉,경주 문화 유적지,경북 경주시 대경로 4859,KakaoMap
O 경주오릉,경주 문화 유적지,경북 경주시 포석로 907,KakaoMap
